student_key,student_id,first_name,last_name,gender,nationality,birthdate,grade_level,class_id
142,142,Zayed,Al Nuaimi,M,Egyptian,2013-02-11,6,17
143,143,Mohammed,Al Saadi,M,Emirati,2012-05-30,5,15
144,144,Salem,Al Nuaimi,M,Emirati,2006-04-21,11,33
145,145,Hassan,Al Nuaimi,M,Palestinian,2014-06-10,5,15
146,146,Khalid,Al Murri,M,Other,2008-02-13,11,31
147,147,Omar,Al Murri,M,Bangladeshi,2016-06-17,1,3
148,148,Hind,Al Murri,F,American,2008-05-27,11,33
149,149,Noor,Al Saadi,F,Indian,2016-02-25,3,8
150,150,Saif,Al Murri,M,Emirati,2010-11-15,7,20
151,151,Lina,Al Falahi,F,Bangladeshi,2009-04-03,10,29
152,152,Khalid,Al Murri,M,Jordanian,2006-07-25,11,33
153,153,Ahmed,Al Saadi,M,Indian,2013-03-22,5,14
154,154,Yousef,Al Rashedi,M,Indian,2016-12-11,3,9
155,155,Zayed,Al Nuaimi,M,Palestinian,2012-02-28,5,13
156,156,Omar,Al Shamsi,M,Bangladeshi,2012-01-24,6,18
157,157,Salem,Al Falahi,M,Emirati,2006-05-29,12,34
158,158,Ahmed,Al Mansoori,M,Indian,2015-04-28,2,6
159,159,Yousef,Al Saadi,M,Arab (Other),2017-02-09,1,1
160,160,Reem,Al Nuaimi,F,Bangladeshi,2011-07-27,8,23
161,161,Yousef,Al Suwaidi,M,Bangladeshi,2012-02-15,6,18
162,162,Omar,Al Mazrouei,M,Palestinian,2011-06-23,7,20
163,163,Mohammed,Al Saadi,M,Egyptian,2011-06-29,7,19
164,164,Layla,Al Mazrouei,F,Emirati,2016-12-01,3,9
165,165,Zayed,Al Mansoori,M,Bangladeshi,2011-11-22,6,18
166,166,Noor,Al Murri,F,Emirati,2012-05-20,6,18
167,167,Noor,Al Zarooni,F,Emirati,2012-05-26,6,16
168,168,Omar,Al Rashedi,M,Pakistani,2011-01-22,6,18
169,169,Salem,Al Mazrouei,M,Palestinian,2012-02-22,6,16
170,170,Noor,Al Saadi,F,Jordanian,2017-08-13,1,3
171,171,Salem,Al Suwaidi,M,Syrian,2012-11-02,5,14
172,172,Yousef,Al Saadi,M,Lebanese,2010-12-03,8,23
173,173,Reem,Al Suwaidi,F,Lebanese,2010-12-02,8,23
174,174,Hind,Al Suwaidi,F,Indian,2013-06-18,4,11
175,175,Lina,Al Saadi,F,Pakistani,2012-06-07,6,16
176,176,Hassan,Al Murri,M,African,2016-02-09,3,7
177,177,Omar,Al Zarooni,M,Bangladeshi,2006-06-22,11,31
178,178,Reem,Al Suwaidi,F,Indian,2014-03-26,3,9
179,179,Sara,Al Nuaimi,F,Arab (Other),2014-05-26,3,8
180,180,Yasmin,Al Mazrouei,F,Syrian,2007-07-08,12,35
181,181,Reem,Al Mansoori,F,Syrian,2007-08-03,10,30
182,182,Fatima,Al Rashedi,F,Emirati,2017-10-11,1,2
183,183,Lina,Al Saadi,F,Jordanian,2015-08-12,4,12
184,184,Hassan,Al Mansoori,M,British,2012-07-10,5,14
185,185,Omar,Al Murri,M,Emirati,2005-06-21,12,36
186,186,Layla,Al Falahi,F,Palestinian,2008-08-28,9,25
187,187,Ahmed,Al Saadi,M,Emirati,2007-11-08,10,30
188,188,Omar,Al Shamsi,M,Emirati,2016-11-14,1,2
189,189,Omar,Al Mansoori,M,Indian,2011-03-15,8,24
190,190,Ahmed,Al Rashedi,M,Lebanese,2012-02-13,5,15
191,191,Yousef,Al Saadi,M,Other,2011-01-11,6,18
192,192,Zayed,Al Falahi,M,Pakistani,2014-02-04,4,10
193,193,Omar,Al Rashedi,M,Pakistani,2015-06-23,2,5
194,194,Layla,Al Mansoori,F,African,2011-08-23,8,22
195,195,Hassan,Al Falahi,M,Indian,2013-07-23,4,11
196,196,Lina,Al Mansoori,F,Emirati,2013-06-19,4,10
197,197,Yousef,Al Nuaimi,M,Canadian,2012-04-05,6,17
198,198,Zayed,Al Murri,M,Canadian,2013-08-06,4,10
199,199,Salem,Al Suwaidi,M,Pakistani,2015-06-01,2,5
200,200,Salem,Al Nuaimi,M,Emirati,2012-06-29,5,13
201,201,Hind,Al Shamsi,F,Indian,2016-07-05,2,6
202,202,Mohammed,Al Falahi,M,Emirati,2018-11-27,1,1
203,203,Ali,Al Rashedi,M,Emirati,2010-08-16,8,23
204,204,Reem,Al Suwaidi,F,Palestinian,2015-02-28,4,11
205,205,Mohammed,Al Mansoori,M,Lebanese,2015-08-17,2,5
206,206,Salem,Al Shamsi,M,Pakistani,2016-08-19,3,7
207,207,Zayed,Al Saadi,M,Pakistani,2011-10-09,8,24
208,208,Khalid,Al Suwaidi,M,Bangladeshi,2009-04-25,8,23
209,209,Hassan,Al Suwaidi,M,Emirati,2016-07-07,1,3
210,210,Saif,Al Suwaidi,M,Indian,2016-09-02,1,2
211,211,Ali,Al Rashedi,M,Emirati,2010-12-15,8,23
212,212,Mohammed,Al Zarooni,M,Indian,2009-09-15,9,25
213,213,Sara,Al Saadi,F,Syrian,2014-04-26,3,8
214,214,Saif,Al Shamsi,M,American,2015-03-06,3,9
215,215,Reem,Al Zarooni,F,Emirati,2012-03-28,7,21
216,216,Reem,Al Murri,F,Canadian,2018-01-24,1,1
217,217,Reem,Al Shamsi,F,Bangladeshi,2014-09-12,5,15
218,218,Lina,Al Shamsi,F,Pakistani,2012-06-01,6,18
219,219,Ahmed,Al Suwaidi,M,Palestinian,2011-03-15,6,17
220,220,Yousef,Al Murri,M,Filipino,2008-02-24,9,27
221,221,Zayed,Al Saadi,M,Jordanian,2016-07-15,2,4
222,222,Hind,Al Mazrouei,F,Filipino,2007-06-10,10,30
223,223,Mohammed,Al Mansoori,M,African,2012-01-12,6,17
224,224,Ali,Al Zarooni,M,Jordanian,2016-01-26,3,8
225,225,Salem,Al Mansoori,M,Egyptian,2009-05-16,10,29
226,226,Hind,Al Murri,F,Emirati,2011-10-11,7,19
227,227,Ali,Al Zarooni,M,Lebanese,2013-11-09,4,12
228,228,Omar,Al Nuaimi,M,Syrian,2012-04-11,7,20
229,229,Hind,Al Zarooni,F,Emirati,2016-09-22,2,5
230,230,Salem,Al Zarooni,M,Emirati,2014-06-03,3,9
231,231,Lina,Al Zarooni,F,Arab (Other),2012-07-07,7,20
232,232,Omar,Al Nuaimi,M,Bangladeshi,2008-11-01,11,33
233,233,Salem,Al Rashedi,M,Emirati,2010-11-19,7,19
234,234,Hind,Al Suwaidi,F,Indian,2018-04-08,1,3
235,235,Yousef,Al Nuaimi,M,Emirati,2013-02-01,5,15
236,236,Lina,Al Mazrouei,F,Bangladeshi,2012-03-29,6,17
237,237,Saif,Al Murri,M,Bangladeshi,2007-11-26,10,30
238,238,Mariam,Al Rashedi,F,Jordanian,2015-06-02,4,11
239,239,Fatima,Al Mansoori,F,Syrian,2011-05-28,7,21
240,240,Saif,Al Nuaimi,M,American,2008-01-22,10,28
241,241,Omar,Al Murri,M,Canadian,2015-04-14,4,11
242,242,Mariam,Al Zarooni,F,Indian,2015-05-03,2,6
243,243,Saif,Al Mazrouei,M,Indian,2015-08-30,2,5
244,244,Mohammed,Al Falahi,M,Filipino,2013-11-30,5,14
245,245,Khalid,Al Murri,M,Egyptian,2006-10-21,11,31
246,246,Ahmed,Al Suwaidi,M,Jordanian,2006-09-11,12,34
247,247,Khalid,Al Falahi,M,Emirati,2007-08-21,11,32
248,248,Lina,Al Zarooni,F,Jordanian,2007-04-09,11,32
249,249,Noor,Al Suwaidi,F,Bangladeshi,2015-06-22,4,10
250,250,Reem,Al Mazrouei,F,Emirati,2008-02-14,10,30
251,251,Omar,Al Suwaidi,M,African,2015-05-14,4,10
252,252,Zayed,Al Shamsi,M,African,2012-05-13,7,21
253,253,Fatima,Al Falahi,F,Pakistani,2013-09-15,4,11
254,254,Mariam,Al Saadi,F,Pakistani,2014-03-10,5,13
255,255,Zayed,Al Rashedi,M,Arab (Other),2010-12-07,7,20
256,256,Fatima,Al Rashedi,F,British,2010-07-05,7,21
257,257,Salem,Al Saadi,M,Emirati,2012-06-16,7,19
258,258,Yasmin,Al Saadi,F,Bangladeshi,2010-08-17,7,19
259,259,Yasmin,Al Suwaidi,F,Palestinian,2011-12-11,7,21
260,260,Sara,Al Nuaimi,F,Emirati,2010-01-24,9,27
261,261,Omar,Al Zarooni,M,Filipino,2007-05-27,12,35
262,262,Mohammed,Al Nuaimi,M,Palestinian,2012-02-11,6,17
263,263,Lina,Al Suwaidi,F,Pakistani,2016-09-27,2,6
264,264,Hassan,Al Falahi,M,Pakistani,2011-08-06,6,18
265,265,Hassan,Al Mazrouei,M,Jordanian,2015-01-17,4,12
266,266,Hind,Al Rashedi,F,Indian,2015-11-01,4,10
267,267,Salem,Al Falahi,M,Emirati,2012-04-21,5,13
268,268,Sara,Al Suwaidi,F,Syrian,2014-06-13,3,9
269,269,Noor,Al Mazrouei,F,Jordanian,2007-07-31,12,36
270,270,Ahmed,Al Zarooni,M,Other,2006-08-07,11,33
271,271,Sara,Al Murri,F,Other,2013-12-23,5,15
272,272,Mohammed,Al Shamsi,M,Lebanese,2012-12-28,6,16
273,273,Zayed,Al Falahi,M,Pakistani,2011-05-05,7,19
274,274,Yousef,Al Saadi,M,American,2017-01-27,2,6
275,275,Salem,Al Rashedi,M,Emirati,2014-12-10,3,9
276,276,Yasmin,Al Mazrouei,F,American,2015-04-08,4,10
277,277,Aisha,Al Mansoori,F,Canadian,2010-05-03,8,22
278,278,Mariam,Al Nuaimi,F,Arab (Other),2013-09-20,5,14
279,279,Yasmin,Al Saadi,F,Bangladeshi,2013-07-09,6,17
280,280,Ahmed,Al Rashedi,M,Canadian,2015-10-27,2,5
281,281,Hind,Al Shamsi,F,Emirati,2016-09-12,3,9
282,282,Noor,Al Shamsi,F,Pakistani,2005-09-09,12,36
283,283,Yousef,Al Suwaidi,M,Emirati,2014-01-31,3,9
284,284,Omar,Al Falahi,M,Pakistani,2017-02-04,2,6
285,285,Sara,Al Mazrouei,F,Syrian,2016-11-11,1,3
286,286,Yasmin,Al Falahi,F,Emirati,2016-05-20,1,3
287,287,Khalid,Al Falahi,M,Arab (Other),2011-02-19,8,22
288,288,Hassan,Al Mazrouei,M,Pakistani,2008-02-10,10,29
289,289,Ali,Al Mansoori,M,Bangladeshi,2016-11-30,3,9
290,290,Sara,Al Saadi,F,Palestinian,2010-01-05,7,19
291,291,Aisha,Al Mansoori,F,Canadian,2009-09-28,10,30
292,292,Fatima,Al Mazrouei,F,Canadian,2007-01-24,11,32
293,293,Mariam,Al Zarooni,F,Indian,2016-04-16,3,8
294,294,Hind,Al Saadi,F,Lebanese,2013-10-04,4,11
295,295,Mohammed,Al Saadi,M,Syrian,2018-02-08,1,2
296,296,Salem,Al Rashedi,M,Syrian,2017-09-09,1,2
297,297,Saif,Al Nuaimi,M,Arab (Other),2012-11-12,7,20
298,298,Hassan,Al Saadi,M,Emirati,2014-07-19,5,15
299,299,Omar,Al Saadi,M,Emirati,2013-03-09,6,17
300,300,Ali,Al Mansoori,M,Bangladeshi,2014-07-01,5,13
301,301,Reem,Al Rashedi,F,Pakistani,2017-02-13,1,2
302,302,Lina,Al Mazrouei,F,Indian,2011-05-18,8,22
303,303,Zayed,Al Suwaidi,M,Emirati,2014-02-09,4,11
304,304,Hassan,Al Mansoori,M,Indian,2012-01-04,6,16
305,305,Noor,Al Rashedi,F,Syrian,2011-11-01,6,17
306,306,Yousef,Al Rashedi,M,Filipino,2012-06-12,6,16
307,307,Zayed,Al Rashedi,M,Pakistani,2013-02-28,5,14
308,308,Fatima,Al Rashedi,F,Filipino,2011-08-25,8,24
309,309,Fatima,Al Mansoori,F,Bangladeshi,2016-09-12,1,2
310,310,Khalid,Al Mazrouei,M,Emirati,2010-08-18,9,26
311,311,Yasmin,Al Rashedi,F,Lebanese,2007-10-06,11,33
312,312,Yousef,Al Zarooni,M,Indian,2015-12-07,2,4
313,313,Salem,Al Falahi,M,Bangladeshi,2010-08-09,8,23
314,314,Omar,Al Shamsi,M,Emirati,2012-12-13,6,17
315,315,Lina,Al Suwaidi,F,Egyptian,2012-02-13,6,17
316,316,Mohammed,Al Murri,M,Palestinian,2008-06-27,10,30
317,317,Zayed,Al Mansoori,M,Syrian,2018-01-12,1,3
318,318,Aisha,Al Suwaidi,F,Canadian,2013-03-23,4,10
319,319,Ali,Al Mansoori,M,Emirati,2009-12-03,8,22
320,320,Ahmed,Al Rashedi,M,American,2012-12-26,7,20
321,321,Khalid,Al Saadi,M,Bangladeshi,2016-08-22,3,8
322,322,Zayed,Al Zarooni,M,African,2011-10-28,7,21
323,323,Yousef,Al Mansoori,M,Bangladeshi,2008-10-29,9,26
324,324,Mohammed,Al Murri,M,Emirati,2015-03-14,2,5
325,325,Ali,Al Rashedi,M,Emirati,2011-10-03,6,17
326,326,Layla,Al Zarooni,F,Emirati,2016-11-13,2,5
327,327,Yousef,Al Falahi,M,Jordanian,2007-12-01,10,30
328,328,Zayed,Al Nuaimi,M,Pakistani,2011-01-16,6,16
329,329,Fatima,Al Shamsi,F,Emirati,2011-10-17,7,19
330,330,Yasmin,Al Zarooni,F,Lebanese,2016-10-04,2,6
331,331,Sara,Al Mansoori,F,Pakistani,2017-06-02,2,6
332,332,Sara,Al Mansoori,F,Egyptian,2013-04-18,6,16
333,333,Reem,Al Murri,F,Canadian,2009-03-13,8,22
334,334,Fatima,Al Falahi,F,Bangladeshi,2015-06-15,4,12
335,335,Mariam,Al Shamsi,F,Bangladeshi,2007-03-11,12,36
336,336,Hind,Al Falahi,F,Other,2017-03-16,2,4
337,337,Fatima,Al Nuaimi,F,Lebanese,2010-07-12,8,24
338,338,Omar,Al Nuaimi,M,Syrian,2009-09-07,9,26
339,339,Ahmed,Al Saadi,M,Pakistani,2010-02-02,8,24
340,340,Hind,Al Mazrouei,F,Filipino,2012-06-21,6,17
341,341,Mohammed,Al Rashedi,M,American,2008-02-20,11,31
342,342,Yasmin,Al Falahi,F,Emirati,2012-04-13,6,16
343,343,Layla,Al Shamsi,F,Emirati,2016-02-12,2,5
344,344,Mohammed,Al Falahi,M,Syrian,2009-12-02,9,25
345,345,Omar,Al Falahi,M,Emirati,2015-12-15,2,4
346,346,Ahmed,Al Murri,M,Pakistani,2010-04-28,9,26
347,347,Omar,Al Saadi,M,Syrian,2015-12-13,2,4
348,348,Saif,Al Rashedi,M,Emirati,2013-11-18,6,18
349,349,Hind,Al Rashedi,F,Indian,2017-03-05,2,4
350,350,Hind,Al Murri,F,African,2008-11-26,10,28
351,351,Saif,Al Rashedi,M,Bangladeshi,2015-12-04,4,12
352,352,Fatima,Al Zarooni,F,Indian,2008-01-28,9,26
353,353,Fatima,Al Mansoori,F,Jordanian,2013-09-28,6,18
354,354,Sara,Al Murri,F,British,2013-07-07,5,15
355,355,Mohammed,Al Mansoori,M,Filipino,2018-05-15,1,1
356,356,Ahmed,Al Nuaimi,M,Arab (Other),2009-12-26,9,26
357,357,Saif,Al Zarooni,M,Pakistani,2015-04-15,2,4
358,358,Layla,Al Zarooni,F,Lebanese,2009-11-26,8,24
359,359,Ali,Al Mazrouei,M,Emirati,2007-11-10,11,31
360,360,Mariam,Al Suwaidi,F,Emirati,2009-06-27,9,25
361,361,Khalid,Al Suwaidi,M,Arab (Other),2007-03-02,10,29
362,362,Sara,Al Murri,F,Pakistani,2010-10-23,7,20
363,363,Yasmin,Al Mansoori,F,Egyptian,2013-07-08,6,18
364,364,Omar,Al Rashedi,M,Indian,2016-01-23,3,9
365,365,Sara,Al Mazrouei,F,Emirati,2014-01-19,5,13
366,366,Hind,Al Mazrouei,F,Palestinian,2007-02-09,11,32
367,367,Aisha,Al Zarooni,F,Indian,2016-07-24,3,9
368,368,Zayed,Al Shamsi,M,Pakistani,2014-01-05,4,12
369,369,Khalid,Al Rashedi,M,Bangladeshi,2010-10-30,8,23
370,370,Fatima,Al Zarooni,F,Indian,2016-04-29,3,8
371,371,Ahmed,Al Murri,M,Emirati,2008-02-23,10,30
372,372,Hassan,Al Nuaimi,M,Egyptian,2005-05-24,12,34
373,373,Hassan,Al Zarooni,M,Syrian,2013-10-25,6,18
374,374,Mohammed,Al Nuaimi,M,Emirati,2013-05-30,6,16
375,375,Yousef,Al Nuaimi,M,Bangladeshi,2014-04-30,4,11
376,376,Hassan,Al Suwaidi,M,Bangladeshi,2017-08-19,2,4
377,377,Ali,Al Saadi,M,Jordanian,2012-03-02,6,17
378,378,Khalid,Al Rashedi,M,Emirati,2017-07-02,2,6
379,379,Ahmed,Al Shamsi,M,Jordanian,2017-10-12,1,2
380,380,Fatima,Al Saadi,F,Jordanian,2017-03-08,2,4
381,381,Ali,Al Murri,M,Bangladeshi,2016-02-08,2,6
382,382,Omar,Al Mazrouei,M,American,2008-03-03,10,28
383,383,Zayed,Al Falahi,M,Emirati,2008-01-16,10,29
384,384,Ali,Al Suwaidi,M,Jordanian,2015-01-18,4,11
385,385,Reem,Al Mazrouei,F,Pakistani,2013-02-01,5,15
386,386,Ali,Al Suwaidi,M,Arab (Other),2008-11-18,11,33
387,387,Lina,Al Falahi,F,Other,2013-06-26,5,15
388,388,Lina,Al Murri,F,Jordanian,2018-01-16,1,3
389,389,Mariam,Al Falahi,F,Pakistani,2012-03-22,7,21
390,390,Hassan,Al Shamsi,M,Arab (Other),2016-07-17,1,1
391,391,Mohammed,Al Suwaidi,M,Emirati,2008-10-29,10,30
392,392,Yousef,Al Rashedi,M,Bangladeshi,2005-06-08,12,35
393,393,Ahmed,Al Saadi,M,Emirati,2018-06-19,1,2
394,394,Fatima,Al Suwaidi,F,Jordanian,2008-01-12,11,32
395,395,Mohammed,Al Saadi,M,American,2005-12-06,12,35
396,396,Omar,Al Murri,M,Jordanian,2006-11-24,12,36
397,397,Noor,Al Suwaidi,F,Bangladeshi,2009-04-25,9,27
398,398,Layla,Al Nuaimi,F,Arab (Other),2013-01-01,4,10
399,399,Reem,Al Nuaimi,F,Canadian,2017-11-10,1,3
